# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
i 2 8160 0 0 140583 27461
p 2 0 3431 4729 19721 4999
p 2 0 4303 3857 30935 6173
p 2 0 2853 5307 53350 4596
p 2 0 3212 4948 37069 5258
p 2 0 2842 5318 27637 4696
p 2 0 2674 5486 26165 4432
p 2 0 2349 5811 31971 4012
p 2 0 2120 6040 20894 3696
p 2 0 2258 5902 19709 3887
p 2 0 3137 5023 23437 4887
p 2 0 2698 5462 27129 4430
p 2 0 3046 5114 54785 4817
p 2 0 3501 4659 39025 5587
p 2 0 3465 4695 33876 5536
p 2 0 3846 4314 48608 6327
p 2 10 3746 4404 44940 7010
p 2 6 4710 3444 53531 8869
p 2 15 4371 3774 73358 8576
p 2 57 5295 2808 64080 10549
p 2 110 5575 2475 60771 11225
p 2 94 6009 2057 68628 11552
p 2 128 6491 1541 78079 12460
p 2 143 6508 1509 82387 13159
p 2 193 6862 1105 101036 14010
p 2 205 7083 872 110039 15100
p 2 240 7196 724 119519 15548
p 2 210 7306 644 128749 16057
p 2 264 7391 505 135805 16369
p 2 301 7438 421 139867 16831
p 2 265 7502 393 136768 16765
p 2 289 7512 359 136912 17109
p 2 326 7604 230 135378 17029
p 2 300 7754 106 149350 17476
p 2 352 7729 79 150206 17937
p 2 355 7713 92 156883 18168
p 2 392 7675 93 151382 18177
p 2 398 7684 78 155520 18165
p 2 263 7826 71 157190 17492
p 2 253 7809 98 171119 17645
p 2 234 7785 141 161039 17370
p 2 286 7763 111 171059 17443
p 2 298 7664 198 173738 17175
p 2 341 7597 222 196858 17571
p 2 370 7551 239 198190 17281
p 2 301 7669 190 193435 17419
p 2 205 7702 253 152023 15499
p 2 131 7715 314 182867 15759
p 2 129 7785 246 189012 16229
p 2 71 7695 394 120599 13898
p 2 72 7707 381 108785 14083
p 2 50 7581 529 145935 14170
p 2 20 7528 612 84923 12084
p 2 7 7448 705 86175 11107
p 2 0 6962 1198 52798 9507
p 2 0 5135 3025 15179 6412
p 2 0 3975 4185 11487 5144
p 2 0 2718 5442 7392 3813
p 2 0 4547 3613 24133 5619
p 2 0 4014 4146 21454 5184
p 2 0 3232 4928 14502 4583
p 2 0 2393 5767 9075 3609
p 2 0 5357 2803 79728 7384
p 2 0 5684 2476 52848 7776
p 2 0 4563 3597 23796 6156
p 2 0 3872 4288 19401 5261
p 2 0 2965 5195 20866 4289
p 2 0 4148 4012 24812 5449
p 2 0 4330 3830 24935 5712
p 2 0 4332 3828 23610 5946
p 2 0 3549 4611 19352 5048
p 2 0 5738 2422 86704 7725
p 2 0 5331 2829 53986 7406
p 2 0 4773 3387 27810 6468
p 2 0 3888 4272 21254 5347
p 2 0 3289 4871 28979 4648
p 2 0 4304 3856 26950 5711
p 2 0 4429 3731 30163 5913
p 2 0 4446 3714 28722 6133
p 2 0 3698 4462 26298 5365
p 2 0 5921 2239 117288 8152
p 2 0 5689 2471 62231 7980
p 2 0 4952 3208 44228 6962
p 2 0 4491 3669 51712 6192
p 2 1 5062 3097 48582 6857
p 2 0 4919 3241 46090 6999
p 2 0 6170 1990 146651 8711
p 2 0 5762 2398 86377 8321
p 2 0 5332 2828 65537 7604
p 2 0 4933 3227 62934 7025
p 2 0 4704 3456 84641 6558
p 2 7 4618 3535 61027 6648
p 2 7 5065 3088 59606 7107
p 2 21 5378 2761 70830 7713
p 2 16 4867 3277 73043 7093
p 2 11 5840 2309 122518 8142
p 2 18 7896 246 214803 12675
p 2 16 7250 894 90564 10300
p 2 13 6340 1807 66090 8934
p 2 16 5595 2549 61062 7866
p 2 5 5052 3103 75053 6969
p 2 11 5431 2718 58180 7458
p 2 13 5741 2406 62530 7900
p 2 14 6143 2003 66627 8601
p 2 10 5714 2436 67371 8055
p 2 10 6580 1570 138398 9093
p 2 14 6275 1871 86600 8987
p 2 14 5907 2239 68419 8313
p 2 16 5284 2860 64826 7526
p 2 17 5014 3129 81685 6992
p 2 19 4845 3296 60311 6968
p 2 17 5210 2933 64127 7327
p 2 12 5570 2578 68046 7832
p 2 15 5339 2806 71147 7570
p 2 18 5918 2224 126778 8221
p 2 13 5581 2566 77089 8006
p 2 19 5279 2862 62406 7542
p 2 10 5046 3104 59850 7116
p 2 22 4619 3519 76550 6541
p 2 11 4154 3995 54867 6169
p 2 17 4201 3942 51931 6230
p 2 18 4948 3194 58838 7074
p 2 16 4788 3356 61905 6897
p 2 15 5045 3100 94056 7040
i 2 8160 0 0 471105 34541
p 2 0 5193 2967 85378 7286
p 2 0 5037 3123 114634 7204
p 2 288 6100 1772 84912 9520
p 2 254 4608 3298 69388 8007
p 2 225 4738 3197 84767 7769
p 2 154 5830 2176 80587 8843
p 2 116 6211 1833 86503 9481
p 2 50 5711 2399 85385 8830
p 2 30 6877 1253 148627 9936
p 2 46 6528 1586 97251 9700
p 2 37 5744 2379 71599 8423
p 2 31 5055 3074 72821 7702
p 2 33 4729 3398 89670 7102
p 2 0 5349 2811 65748 7259
p 2 0 5701 2459 65435 7637
p 2 0 5321 2839 64242 7446
p 2 0 4679 3481 67356 6732
p 2 2 6690 1468 139287 9001
p 2 0 6341 1819 84406 8738
p 2 0 5298 2862 54897 7318
p 2 0 4681 3479 49777 6529
p 2 0 4083 4077 63312 5684
p 2 0 5395 2765 57346 7119
p 2 0 4870 3290 57777 6723
p 2 0 4431 3729 56598 6422
p 2 0 6707 1453 138121 8949
p 2 0 6143 2017 82115 8414
p 2 1 5213 2946 57792 7267
p 2 1 4524 3635 50877 6411
p 2 0 4342 3818 69872 5986
p 2 0 4772 3388 49460 6515
p 2 0 5213 2947 56651 7003
p 2 0 4906 3254 57872 6867
p 2 0 4290 3870 58665 6218
p 2 0 6399 1761 127846 8364
p 2 0 5725 2435 77631 7847
p 2 0 5003 3157 54754 6943
p 2 2 4429 3729 52665 6334
p 2 0 4029 4131 66006 5662
p 2 0 4597 3563 50433 6274
p 2 0 5025 3135 56107 6766
p 2 0 4949 3211 57356 6901
p 2 0 4295 3865 57286 6241
p 2 0 6024 2136 121033 7941
p 2 0 5314 2846 69854 7278
p 2 0 4611 3549 60207 6564
p 2 0 4463 3697 78015 6142
p 2 0 4883 3277 61366 6671
p 2 0 5260 2900 66718 7269
p 2 0 4711 3449 65970 6708
p 2 0 6038 2122 125574 7971
p 2 0 5430 2730 82671 7511
p 2 0 5021 3139 66623 7042
p 2 0 4477 3683 66833 6381
p 2 0 4229 3931 80460 5925
p 2 0 4557 3603 64055 6399
p 2 0 4998 3162 67533 6808
p 2 0 5029 3131 68938 7002
p 2 0 4594 3566 71961 6546
p 2 41 5937 2182 139825 8483
p 2 0 5880 2280 73119 7952
p 2 66 5039 3055 102255 7700
p 2 0 5211 2949 70663 7097
p 2 66 6320 1774 162474 9145
p 2 0 5598 2562 71242 7619
p 2 67 5207 2886 110820 7851
p 2 0 5159 3001 63758 6949
p 2 85 4901 3174 98698 7775
p 2 0 6065 2095 126910 7916
p 2 76 5623 2461 105748 8612
p 2 0 5083 3077 77486 6999
p 2 72 5121 2967 101505 7945
p 2 0 6189 1971 131645 8156
p 2 78 5756 2326 100934 8723
p 2 0 5134 3026 76041 7053
p 2 72 5052 3036 93716 7806
p 2 0 6119 2041 133193 8085
p 2 74 5593 2493 98426 8454
p 2 0 5009 3151 78691 6901
p 2 52 5248 2860 85468 7725
p 2 0 4940 3220 65426 6973
p 2 44 6178 1938 149106 8629
p 2 0 5569 2591 76930 7701
p 2 33 4857 3270 71180 7313
p 2 0 4249 3911 50472 6122
p 2 0 3922 4238 65448 5544
p 2 0 4251 3909 49239 6032
p 2 0 4464 3696 50585 6138
p 2 0 4515 3645 53668 6347
p 2 34 4075 4051 68216 6257
p 2 0 5599 2561 114098 7372
p 2 91 7787 282 243234 12886
p 2 4 7053 1103 86693 9697
p 2 203 5952 2005 118520 9378
p 2 5 5709 2446 76843 7624
p 2 309 5919 1932 123390 10094
p 2 5 6061 2094 120982 8151
p 2 414 5525 2221 139995 10366
p 2 10 5708 2442 69222 7901
p 2 539 5653 1968 185022 11023
p 2 13 5245 2902 67177 7506
p 2 733 4663 2764 186148 11156
p 2 30 4780 3350 79789 7456
p 2 1185 4796 2179 232120 14271
p 2 72 5449 2639 121423 8582
p 2 1805 4755 1600 284154 17400
p 2 69 5701 2390 132767 9255
i 2 8160 0 0 471699 33146
p 2 92 5342 2726 118100 9420
p 2 2566 4291 1303 248318 19614
p 2 70 5738 2352 113566 9746
p 2 2267 3833 2060 247536 19054
p 2 222 4934 3004 62977 8265
p 2 732 4628 2800 156912 10926
p 2 0 4697 3463 66788 6699
p 2 205 4356 3599 85487 7754
p 2 0 4128 4032 76756 5744
p 2 257 4056 3847 87480 7654
p 2 0 4698 3462 76233 6758
p 2 486 4404 3270 136989 8996
p 2 0 4359 3801 63469 6350
p 2 634 3843 3683 132827 9707
p 2 0 3784 4376 60529 5895
p 2 711 4021 3428 126249 10435
p 2 0 4488 3672 95994 6767
i 2 8160 0 0 611496 33099
p 2 15 6865 1280 239244 10513
p 2 23 6666 1471 318121 9942
p 2 214 7443 503 150526 11477
p 2 172 6210 1778 93971 9811
p 2 191 5923 2046 102394 8989
p 2 164 6299 1697 92773 9402
p 2 167 5327 2666 90533 9012
p 2 61 7525 574 236894 10630
p 2 56 7471 633 146472 11063
p 2 70 6169 1921 94050 9435
p 2 69 5959 2132 106503 8594
p 2 64 6138 1958 92956 8868
p 2 59 5469 2632 108890 8655
p 2 38 7556 566 218052 10055
p 2 38 7401 721 149157 10755
p 2 37 6405 1718 93237 9211
p 2 29 5640 2491 78617 8066
p 2 21 5248 2891 86423 7204
p 2 14 5921 2225 75172 7964
p 2 7 5602 2551 79870 7751
p 2 5 5250 2905 78869 7541
p 2 3 7471 686 190490 9664
p 2 1 7079 1080 118807 9823
p 2 0 5888 2272 70911 8145
p 2 0 5538 2622 75209 7396
p 2 1 6040 2119 68992 7985
p 2 0 5622 2538 73203 7722
p 2 1 5088 3071 69080 7267
p 2 2 7452 706 220899 9506
p 2 0 7104 1056 113890 9661
p 2 0 6400 1760 67514 8436
p 2 10 5794 2356 63630 7719
p 2 0 5600 2560 92296 7136
p 2 15 5884 2261 62064 7769
p 2 0 6075 2085 63774 7881
p 2 0 6034 2126 65750 7831
p 2 0 5699 2461 69850 7551
p 2 0 6989 1171 153898 8602
p 2 0 6220 1940 84894 8435
p 2 0 5711 2449 65941 7680
p 2 0 5303 2857 56072 7034
p 2 0 5219 2941 91636 6716
p 2 0 4815 3345 50002 6626
p 2 1 5096 3063 51270 6916
p 2 0 5393 2767 56567 7184
p 2 1 5358 2801 64132 7233
p 2 0 5876 2284 117806 7503
i 2 8160 0 0 556765 31700
p 2 0 7249 911 102564 11051
p 2 96 6652 1412 132704 10645
p 2 0 6847 1313 89844 9642
p 2 90 7505 565 244002 11701
p 2 0 7161 999 99783 10611
p 2 90 6607 1463 138415 10555
p 2 0 6622 1538 77460 9152
p 2 73 6271 1816 128145 10056
p 2 0 7086 1074 174294 9780
p 2 89 6850 1221 121049 11075
p 2 0 6245 1915 74417 8815
p 2 90 6266 1804 112596 9818
p 2 0 6906 1254 171958 9558
p 2 144 6599 1417 146382 11212
p 2 0 6264 1896 99478 9000
p 2 227 6197 1736 146366 10909
p 2 0 6780 1380 168841 9399
p 2 236 6415 1509 154130 11668
p 2 0 5894 2266 68573 8318
p 2 221 5934 2005 131315 10439
p 2 0 6569 1591 161689 9106
p 2 176 6289 1695 153403 11065
p 2 0 6022 2138 83527 8574
p 2 163 5925 2072 150913 10417
