# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 8160 0 0 22554 22554
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 0 0 8160 1082 1082
p 2 8160 0 0 27614 27614
p 2 0 0 8160 1082 1082
i 2 8160 0 0 57028 22961
i 2 8160 0 0 95654 23043
p 2 3027 4963 170 82210 22924
p 2 1660 6413 87 69045 22180
p 2 2620 5420 120 80648 23781
p 2 1670 6399 91 90884 22957
p 2 625 7432 103 105476 21860
p 2 827 7220 113 77165 20850
p 2 1240 6859 61 74829 21684
p 2 1335 6712 113 73418 21863
p 2 2177 5855 128 80664 22952
p 2 2826 5128 206 62056 23285
p 2 3447 4597 116 102058 24784
p 2 1574 6342 244 93434 23103
p 2 472 7491 197 72826 21595
p 2 627 7387 146 71900 21058
p 2 808 7169 183 65665 20887
p 2 2431 5532 197 77295 22758
p 2 3096 4752 312 67225 23592
p 2 2968 4850 342 89174 23830
p 2 1517 6439 204 94841 22875
p 2 390 7612 158 68719 21148
p 2 589 7411 160 72551 20800
p 2 668 7274 218 66353 20556
p 2 2313 5568 279 77447 22853
p 2 2659 5123 378 66781 23079
p 2 2995 4798 367 86381 23613
p 2 1553 6320 287 90834 22783
p 2 344 7568 248 74786 20821
p 2 473 7511 176 74436 20732
p 2 608 7304 248 66147 20079
p 2 2029 5827 304 76887 22329
p 2 3159 4593 408 72160 23526
p 2 2824 4984 352 86394 23812
p 2 1322 6538 300 93203 22458
p 2 338 7579 243 69580 20188
p 2 346 7613 201 73068 19650
p 2 434 7481 245 68364 19579
p 2 2324 5516 320 80303 22850
p 2 2804 4801 555 73870 22791
p 2 2465 5297 398 89628 23670
p 2 1138 6770 252 97045 22428
p 2 364 7522 274 76502 19995
p 2 286 7642 232 76833 19581
p 2 467 7366 327 71899 19345
p 2 2158 5690 312 78536 22544
p 2 2719 4815 626 73323 22386
p 2 2344 5358 458 85921 22885
p 2 982 6842 336 98481 21629
p 2 258 7599 303 69365 19251
p 2 208 7612 340 70517 18427
p 2 448 7289 423 67189 18665
p 2 1815 5966 379 81067 21646
p 2 2545 4918 697 71397 22065
p 2 2230 5362 568 87971 22662
p 2 1063 6647 450 86474 21238
p 2 319 7360 481 70096 18873
p 2 136 7565 459 83090 17843
p 2 465 7080 615 71750 18383
p 2 1520 6236 404 86238 21007
p 2 2284 5273 603 74337 21836
p 2 1792 5774 594 94750 21721
p 2 931 6761 468 80796 20631
p 2 272 7416 472 82319 18389
p 2 96 7570 494 66348 17377
p 2 302 7278 580 71792 17560
p 2 1519 6173 468 84271 20283
p 2 2199 5342 619 72333 21554
p 2 1840 5810 510 92508 21851
p 2 922 6725 513 82646 20699
p 2 207 7408 545 79704 18061
p 2 116 7532 512 62490 17056
p 2 279 7283 598 67712 17363
p 2 1500 6219 441 81752 20230
p 2 2464 5064 632 71497 21884
p 2 1677 5944 539 91903 21515
p 2 899 6752 509 75840 20349
p 2 206 7491 463 75627 17934
p 2 108 7534 518 61148 17088
p 2 311 7296 553 69059 17497
p 2 1484 6201 475 82205 20193
p 2 2317 5244 599 70946 21757
p 2 2037 5586 537 92032 22218
p 2 828 6855 477 78878 20515
p 2 229 7442 489 74055 17782
p 2 90 7590 480 60160 16871
p 2 311 7280 569 66453 17342
p 2 1506 6196 458 83871 20283
p 2 2373 5156 631 72838 21605
p 2 1976 5625 559 89828 21922
p 2 968 6686 506 83368 20570
p 2 257 7403 500 66969 18308
p 2 82 7540 538 80563 17258
p 2 239 7375 546 113554 17912
p 2 1481 6186 493 72982 20361
p 2 2182 5382 596 86400 21580
p 2 1872 5812 476 80097 22112
p 2 933 6767 460 99155 20665
p 2 243 7443 474 69880 18238
p 2 126 7557 477 67865 17434
p 2 330 7251 579 61220 17351
p 2 1489 6247 424 83696 20272
p 2 2255 5271 634 73441 21538
p 2 1846 5784 530 94259 22030
p 2 832 6819 509 77773 20543
p 2 243 7435 482 73843 18065
p 2 103 7526 531 62011 17175
p 2 331 7282 547 68221 17280
p 2 1547 6151 462 81108 20147
p 2 2164 5359 637 71981 21513
p 2 1982 5658 520 89755 21984
p 2 992 6679 489 77804 20614
p 2 209 7456 495 76723 17863
p 2 119 7597 444 66102 17411
p 2 318 7262 580 70652 17570
p 2 1538 6149 473 81435 20313
p 2 2493 5036 631 71843 21790
p 2 1844 5748 568 91330 21766
p 2 968 6684 508 76877 20510
p 2 204 7488 468 77092 17995
p 2 109 7518 533 66273 17345
p 2 325 7258 577 68040 17379
p 2 1535 6165 460 82570 20352
p 2 2314 5225 621 71118 21559
p 2 1882 5720 558 94519 22085
p 2 1025 6659 476 76387 20518
p 2 214 7417 529 74324 17846
p 2 120 7593 447 67225 17487
p 2 331 7248 581 68312 17484
p 2 1473 6264 423 79407 20344
p 2 2405 5137 618 73205 21636
p 2 2251 5350 559 87833 22289
p 2 860 6829 471 78655 20596
p 2 242 7449 469 77404 18256
p 2 150 7449 561 64907 17234
p 2 263 7306 591 64518 17325
p 2 1531 6146 483 68048 19895
p 2 2196 5299 665 62705 20854
p 2 2413 5325 422 78275 22904
p 2 1520 6332 308 95827 22328
p 2 338 7560 262 78203 20700
p 2 365 7580 215 79437 20256
p 2 896 7015 249 79527 21110
p 2 2547 5292 321 82455 23071
i 2 8160 0 0 56949 23995
i 2 8160 0 0 93069 23579
p 2 3415 4402 343 86597 23551
p 2 629 7263 268 79730 20720
p 2 836 7110 214 69041 20434
p 2 1071 6836 253 66699 20786
p 2 2844 4995 321 82452 23187
p 2 3570 4222 368 66304 24249
p 2 3483 4359 318 100003 23912
p 2 1643 6220 297 91380 23099
p 2 450 7461 249 72569 21341
p 2 627 7345 188 71160 20797
p 2 884 7027 249 69862 20722
p 2 2500 5361 299 79613 22838
p 2 3494 4292 374 66568 24413
p 2 3537 4298 325 104938 24019
p 2 1583 6280 297 96133 23215
p 2 536 7394 230 85746 21393
p 2 653 7296 211 66228 20790
p 2 801 7117 242 65058 20702
i 2 8160 0 0 143206 24140
i 2 8160 0 0 424073 25112
p 2 1949 5937 274 151379 18360
p 2 0 6964 1196 80730 10565
p 2 0 6688 1472 78818 9746
p 2 0 6873 1287 61442 9483
p 2 0 6993 1167 74728 9754
p 2 0 7004 1156 74522 9741
p 2 0 6673 1487 118698 9638
p 2 108 6910 1142 83223 10697
p 2 132 6660 1368 59626 10296
p 2 47 6389 1724 65369 9660
p 2 2 6406 1752 69676 9369
p 2 46 6623 1491 76261 10101
p 2 0 6469 1691 115313 9542
p 2 1 6114 2045 86432 9259
p 2 0 6359 1801 81410 9512
p 2 0 5955 2205 88269 8992
p 2 0 5965 2195 82605 8927
p 2 0 5932 2228 84165 9041
p 2 2193 5645 322 275933 22413
i 2 8160 0 0 273696 26787
p 2 4103 3598 459 293366 25536
p 2 3374 4391 395 271863 24944
p 2 2776 5017 367 256827 24446
p 2 2125 5697 338 246553 23468
p 2 1634 6255 271 230369 22793
p 2 249 7639 272 213647 19082
p 2 0 7254 906 108670 12872
p 2 2 7248 910 149098 12647
p 2 0 6721 1439 100486 11011
p 2 1 6659 1500 105936 10003
p 2 0 6175 1985 89793 8761
p 2 11 6532 1617 101827 9509
p 2 0 6372 1788 118424 9117
p 2 0 5945 2215 100894 8775
p 2 0 6315 1845 89803 8896
p 2 0 5158 3002 93508 7562
p 2 0 5455 2705 87804 7818
p 2 0 5898 2262 92335 8458
p 2 0 5654 2506 114223 8232
p 2 0 5064 3096 81288 7675
p 2 0 5262 2898 77826 7790
i 2 8160 0 0 242969 26690
p 2 8 7715 437 147707 12595
p 2 336 7480 344 195178 16185
p 2 124 7757 279 225299 16015
p 2 97 7778 285 186172 15982
p 2 42 7853 265 177450 15185
p 2 86 7723 351 184181 15203
p 2 0 7242 918 113026 12048
p 2 0 6964 1196 149555 10735
p 2 0 6261 1899 96363 9608
p 2 0 6020 2140 82893 8918
p 2 0 5544 2616 79963 8175
p 2 0 5241 2919 88668 7713
p 2 0 4671 3489 76882 7151
p 2 0 4883 3277 80051 7356
p 2 0 5486 2674 80438 8113
p 2 0 5086 3074 83930 7563
p 2 0 5166 2994 122825 7924
i 2 8160 0 0 342946 28242
p 2 0 4991 3169 101029 8223
p 2 239 4795 3126 101984 9564
p 2 0 4769 3391 86524 7473
p 2 148 4982 3030 98334 9191
p 2 0 4975 3185 89161 7955
p 2 176 4948 3036 149484 9559
p 2 4 4726 3430 103271 7861
p 2 274 4688 3198 113043 9887
p 2 0 4631 3529 96260 7746
p 2 163 4644 3353 113695 9294
p 2 28 4721 3411 97607 8184
p 2 128 4815 3217 147105 9200
p 2 1 4861 3298 96311 8034
p 2 248 4628 3284 104586 9404
p 2 0 4563 3597 85838 7235
p 2 146 4469 3545 98395 8622
p 2 0 4567 3593 87788 7495
p 2 170 4651 3339 140046 9121
p 2 0 4595 3565 90185 7395
p 2 225 4446 3489 108940 8972
p 2 0 4353 3807 86095 6972
p 2 131 4441 3588 109756 8543
p 2 0 4658 3502 95073 7665
p 2 171 4894 3095 142119 9285
p 2 57 5033 3070 95136 8276
p 2 339 5007 2814 142014 11102
p 2 21 4915 3224 89924 8147
p 2 216 5383 2561 165689 10880
p 2 8 5152 3000 86427 8428
p 2 176 5112 2872 139481 10098
p 2 3 4840 3317 76182 7853
p 2 223 5124 2813 133834 10301
p 2 3 5151 3006 130248 8258
p 2 126 4994 3040 105345 9544
p 2 1 5276 2883 84164 8427
p 2 132 4626 3402 94762 8652
p 2 1 4618 3541 64708 7132
p 2 240 4588 3332 87311 9035
p 2 0 4616 3544 99336 7211
p 2 148 4819 3193 89927 8961
p 2 0 4849 3311 57262 7557
p 2 180 4274 3706 89839 8448
p 2 0 4523 3637 62171 6984
p 2 222 4313 3625 87681 8641
p 2 0 4846 3314 114360 7598
p 2 128 4771 3261 102253 9082
p 2 0 4752 3408 72933 7585
p 2 174 4656 3330 128003 9420
p 2 0 4735 3425 68019 7343
p 2 244 4697 3219 115258 9703
p 2 0 4929 3231 122520 7708
p 2 151 5084 2925 137489 9927
p 2 0 4979 3181 89395 7701
p 2 164 5326 2670 169694 10115
p 2 0 5056 3104 95332 7887
p 2 220 4660 3280 118335 9122
p 2 0 4676 3484 88176 7391
p 2 131 4746 3283 110870 8817
p 2 0 5004 3156 117588 7694
p 2 128 7202 830 261261 12771
p 2 0 6601 1559 97493 10567
p 2 246 6160 1754 94452 10964
p 2 0 5725 2435 82432 8375
p 2 147 5818 2195 86350 9829
p 2 0 5734 2426 71691 8555
p 2 170 5732 2258 142235 10180
p 2 0 5765 2395 78581 8613
p 2 221 5311 2628 88775 9700
p 2 0 5237 2923 76989 7737
p 2 135 5267 2758 87745 9216
p 2 0 5218 2942 75838 8075
p 2 129 5450 2581 144137 9550
p 2 0 5191 2969 77335 8016
p 2 242 4850 3068 83410 9421
p 2 0 4702 3458 67492 7077
p 2 142 4688 3330 73845 8611
p 2 0 4838 3322 63526 7573
p 2 166 4941 3053 135691 9238
p 2 0 4796 3364 76567 7590
p 2 221 4740 3199 83565 9100
p 2 0 4636 3524 74991 7045
p 2 134 4642 3384 90562 8587
p 2 0 4815 3345 78323 7616
p 2 130 5077 2953 148963 9255
p 2 0 4926 3234 95810 7835
p 2 241 4715 3204 104770 9273
p 2 0 4597 3563 83662 7128
p 2 149 4451 3560 97302 8508
p 2 0 4691 3469 88030 7557
p 2 166 4806 3188 145931 9115
p 2 0 4495 3665 92196 7315
p 2 213 4304 3643 110698 8731
p 2 0 4117 4043 85305 6763
p 2 134 4250 3776 105622 8289
p 2 0 4727 3433 91496 7593
p 2 132 4446 3582 107654 8530
p 2 0 4614 3546 122043 7370
